Row ID,Order ID,Order Date,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit,Day Of Week,Fiscal Year,Fiscal Quarter,Cost
11,AMER-2018-115812,6/9/2018,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,ContactMatcher,43NZ37VE2D,1706.184,9,0.2,85.3092,Saturday,FY2018,FQ3,1620.8748
12,AMER-2018-115812,6/9/2018,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,Site Analytics,JG14MOU94R,911.424,4,0.2,68.3568,Saturday,FY2018,FQ3,843.0672
13,EMEA-2021-114412,4/16/2021,Carlos Salazar,Sweden,Stockholm,EMEA,NOR,AnyCompany 35,1062,Energy,SMB,Support,FE5QJBIUN1,15.552,3,0.2,5.4432,Friday,FY2021,FQ3,10.1088
14,AMER-2020-161389,12/6/2020,Arnav Desai,Canada,Toronto,AMER,NAMER,ExampleCorp 15,1066,Tech,SMB,ContactMatcher,COK66F8IC1,407.976,3,0.2,132.5922,Sunday,FY2021,FQ1,275.3838
15,APJ-2019-118983,11/22/2019,María García,Japan,Saitama,APJ,JAPN,ExampleCorp 27,1074,Healthcare,Enterprise,OneView,D8FGC56NNX,68.81,5,0.8,-123.858,Friday,FY2020,FQ1,192.668
16,APJ-2019-118983,11/22/2019,María García,Japan,Saitama,APJ,JAPN,ExampleCorp 27,1074,Healthcare,Enterprise,ContactMatcher,NRKT5R1A1G,2.544,3,0.8,-3.816,Friday,FY2020,FQ1,6.36
17,EMEA-2018-105893,11/11/2018,Márcia Oliveira,Italy,Naples,EMEA,EU,ExampleCorp 42,1087,Manufacturing,SMB,Marketing Suite - Gold,K5XHYWZ1OV,665.88,6,0,13.3176,Sunday,FY2019,FQ1,652.5624
18,EMEA-2018-167164,5/13/2018,Liu Jie,Turkey,Ankara,EMEA,MEA,AnyCompany 44,1047,Retail,SMB,Marketing Suite - Gold,LWWKLPY4AU,55.5,2,0,9.99,Sunday,FY2018,FQ3,45.51
19,AMER-2018-143336,8/27/2018,Kwesi Manu,United States,Los Angeles,AMER,NAMER,ExampleCorp 52,1099,Finance,SMB,ChatBot Plugin,ZYL9KDTY68,8.56,2,0,2.4824,Monday,FY2018,FQ4,6.0776
20,AMER-2018-143336,8/27/2018,Kwesi Manu,United States,Los Angeles,AMER,NAMER,ExampleCorp 52,1099,Finance,SMB,Site Analytics,I54O29EW1T,213.48,3,0.2,16.011,Monday,FY2018,FQ4,197.469
21,AMER-2018-143336,8/27/2018,Kwesi Manu,United States,Los Angeles,AMER,NAMER,ExampleCorp 52,1099,Finance,SMB,ContactMatcher,E3TF1V9DE8,22.72,4,0.2,7.384,Monday,FY2018,FQ4,15.336
22,AMER-2020-137330,12/10/2020,Shirley Rodriguez,Costa Rica,San José,AMER,LATAM,AnyCompany 21,1048,Retail,Strategic,ChatBot Plugin,B83G92QX65,19.46,7,0,5.0596,Thursday,FY2021,FQ1,14.4004
23,AMER-2020-137330,12/10/2020,Shirley Rodriguez,Costa Rica,San José,AMER,LATAM,AnyCompany 21,1048,Retail,Strategic,OneView,VWDIYAB44Z,60.34,7,0,15.6884,Thursday,FY2021,FQ1,44.6516
24,EMEA-2021-156909,7/17/2021,Saanvi Sarkar,France,Paris,EMEA,EU-WEST,AnyCompany 31,1025,Retail,SMB,FinanceHub,AJOASBK55N,71.372,2,0.3,-1.0196,Saturday,FY2021,FQ4,72.3916
25,EMEA-2019-106320,9/25/2019,Nikhil Jayashankar,Turkey,Istanbul,EMEA,MEA,ExampleCorp 13,1063,Consumer Products,SMB,ContactMatcher,P1I8X35CUZ,1044.63,3,0,240.2649,Wednesday,FY2019,FQ4,804.3651
26,AMER-2020-121755,1/16/2020,Ana Carolina Silva,United States,New York City,AMER,NAMER,ExampleCorp 35,1043,Manufacturing,SMB,ContactMatcher,NRCR8EBL62,11.648,2,0.2,4.2224,Thursday,FY2020,FQ2,7.4256
27,AMER-2020-121755,1/16/2020,Ana Carolina Silva,United States,New York City,AMER,NAMER,ExampleCorp 35,1043,Manufacturing,SMB,Data Smasher,PV9U9D3A6O,90.57,3,0,11.7741,Thursday,FY2020,FQ2,78.7959
28,EMEA-2019-150630,9/17/2019,Wang Xiulan,France,Paris,EMEA,EU-WEST,ExampleCorp 5,1051,Tech,SMB,Marketing Suite,F8G07TWQ17,3083.43,7,0.5,-1665.0522,Tuesday,FY2019,FQ4,4748.4822
29,EMEA-2019-150630,9/17/2019,Wang Xiulan,France,Paris,EMEA,EU-WEST,ExampleCorp 5,1051,Tech,SMB,ContactMatcher,BGL4P1U2CZ,9.618,2,0.7,-7.0532,Tuesday,FY2019,FQ4,16.6712
30,EMEA-2019-150630,9/17/2019,Wang Xiulan,France,Paris,EMEA,EU-WEST,ExampleCorp 5,1051,Tech,SMB,SaaS Connector Pack,B5H6S070N8,124.2,3,0.2,15.525,Tuesday,FY2019,FQ4,108.675
31,EMEA-2019-150630,9/17/2019,Wang Xiulan,France,Paris,EMEA,EU-WEST,ExampleCorp 5,1051,Tech,SMB,SaaS Connector Pack - Gold,D9635UBJOG,3.264,2,0.2,1.1016,Tuesday,FY2019,FQ4,2.1624
32,EMEA-2019-150630,9/17/2019,Wang Xiulan,France,Paris,EMEA,EU-WEST,ExampleCorp 5,1051,Tech,SMB,ChatBot Plugin,6SQI2HAZ4C,86.304,6,0.2,9.7092,Tuesday,FY2019,FQ4,76.5948
33,EMEA-2019-150630,9/17/2019,Wang Xiulan,France,Paris,EMEA,EU-WEST,ExampleCorp 5,1051,Tech,SMB,ContactMatcher,GPQ0TDTGIM,6.858,6,0.7,-5.715,Tuesday,FY2019,FQ4,12.573
34,EMEA-2019-150630,9/17/2019,Wang Xiulan,France,Paris,EMEA,EU-WEST,ExampleCorp 5,1051,Tech,SMB,ChatBot Plugin,4YZZHFC212,15.76,2,0.2,3.546,Tuesday,FY2019,FQ4,12.214
35,APJ-2021-107727,10/20/2021,John Doe,Japan,Tokyo,APJ,JAPN,AnyCompany 42,1083,Misc,Enterprise,Support,77YXBOVGDH,29.472,3,0.2,9.9468,Wednesday,FY2022,FQ1,19.5252
36,APJ-2020-117590,12/9/2020,Márcia Oliveira,Japan,Aichi,APJ,JAPN,ExampleCorp 30,1077,Consumer Products,Strategic,Site Analytics,GCT4GPUBVT,1097.544,7,0.2,123.4737,Wednesday,FY2021,FQ1,974.0703
37,APJ-2020-117590,12/9/2020,Márcia Oliveira,Japan,Aichi,APJ,JAPN,ExampleCorp 30,1077,Consumer Products,Strategic,SaaS Connector Pack,TKN9K1JO1D,190.92,5,0.6,-147.963,Wednesday,FY2021,FQ1,338.883
38,APJ-2019-117415,12/27/2019,Nikhil Jayashankar,Japan,Tokyo,APJ,JAPN,AnyCompany 15,1101,Finance,Enterprise,SaaS Connector Pack - Gold,2F0NIUM5X9,113.328,9,0.2,35.415,Friday,FY2020,FQ1,77.913
39,APJ-2019-117415,12/27/2019,Nikhil Jayashankar,Japan,Tokyo,APJ,JAPN,AnyCompany 15,1101,Finance,Enterprise,Marketing Suite,FBXEM82WEZ,532.3992,3,0.32,-46.9764,Friday,FY2020,FQ1,579.3756
40,APJ-2019-117415,12/27/2019,Nikhil Jayashankar,Japan,Tokyo,APJ,JAPN,AnyCompany 15,1101,Finance,Enterprise,FinanceHub,TS9MS0FQVU,212.058,3,0.3,-15.147,Friday,FY2020,FQ1,227.205
41,APJ-2019-117415,12/27/2019,Nikhil Jayashankar,Japan,Tokyo,APJ,JAPN,AnyCompany 15,1101,Finance,Enterprise,Site Analytics,HDJMRDRWK6,371.168,4,0.2,41.7564,Friday,FY2020,FQ1,329.4116
42,APJ-2021-120999,9/11/2021,Nikki Wolf,Australia,Wollongong,APJ,ANZ,ExampleCorp 24,1058,Energy,Strategic,Site Analytics,QINRKET2EK,147.168,4,0.2,16.5564,Saturday,FY2021,FQ4,130.6116
43,AMER-2020-101343,7/18/2020,María García,United States,New York City,AMER,NAMER,ExampleCorp 35,1043,Manufacturing,Strategic,Marketing Suite - Gold,DFHNNSTX0P,77.88,2,0,3.894,Saturday,FY2020,FQ4,73.986
44,EMEA-2021-139619,9/20/2021,Carlos Salazar,Germany,Hanover,EMEA,EU-WEST,ExampleCorp 34,1015,Tech,Strategic,Marketing Suite - Gold,616XTGD7Y3,95.616,2,0.2,9.5616,Monday,FY2021,FQ4,86.0544
45,EMEA-2020-118255,3/12/2020,Martha Rivera,Luxembourg,Luxembourg,EMEA,EU-WEST,ExampleCorp 36,1028,Tech,Strategic,Data Smasher,F4GWWGL9KR,45.98,2,0,19.7714,Thursday,FY2020,FQ2,26.2086
46,EMEA-2020-118255,3/12/2020,Martha Rivera,Luxembourg,Luxembourg,EMEA,EU-WEST,ExampleCorp 36,1028,Tech,Strategic,ContactMatcher,JFCUNTQD5P,17.46,2,0,8.2062,Thursday,FY2020,FQ2,9.2538
47,AMER-2018-146703,10/20/2018,Paulo Santos,Brazil,Salvador,AMER,LATAM,ExampleCorp 18,1068,Finance,SMB,Marketing Suite - Gold,S2GUIRDRRI,211.96,4,0,8.4784,Saturday,FY2019,FQ1,203.4816
48,APJ-2020-169194,6/21/2020,Mary Major,Philippines,Davao City,APJ,APAC,AnyCompany 16,1011,Finance,SMB,Data Smasher,2L5WUVH1UW,45,3,0,4.95,Sunday,FY2020,FQ3,40.05
49,APJ-2020-169194,6/21/2020,Mary Major,Philippines,Davao City,APJ,APAC,AnyCompany 16,1011,Finance,SMB,Site Analytics,O0QZ4DQ2DW,21.8,2,0,6.104,Sunday,FY2020,FQ3,15.696
50,APJ-2019-115742,4/18/2019,Li Juan,India,Kolkata,APJ,IND,ExampleCorp 35,1043,Manufacturing,SMB,ContactMatcher,4A8Q6U643K,38.22,6,0,17.9634,Thursday,FY2019,FQ3,20.2566
51,APJ-2019-115742,4/18/2019,Li Juan,India,Kolkata,APJ,IND,ExampleCorp 35,1043,Manufacturing,SMB,FinanceHub,N3660I16OB,75.18,6,0,35.3346,Thursday,FY2019,FQ3,39.8454
52,APJ-2019-115742,4/18/2019,Li Juan,India,Kolkata,APJ,IND,ExampleCorp 35,1043,Manufacturing,SMB,SaaS Connector Pack,DU3DC8HDNW,6.16,2,0,2.9568,Thursday,FY2019,FQ3,3.2032
53,APJ-2019-115742,4/18/2019,Li Juan,India,Kolkata,APJ,IND,ExampleCorp 35,1043,Manufacturing,SMB,FinanceHub,SCMV1FUA1Z,89.99,1,0,17.0981,Thursday,FY2019,FQ3,72.8919
54,EMEA-2020-105816,12/12/2020,Nikki Wolf,United Kingdom,London,EMEA,UKIR,ExampleCorp 41,1059,Retail,Strategic,Storage,5JTHBK78DZ,15.26,7,0,6.2566,Saturday,FY2021,FQ1,9.0034
55,EMEA-2020-105816,12/12/2020,Nikki Wolf,United Kingdom,London,EMEA,UKIR,ExampleCorp 41,1059,Retail,Strategic,Site Analytics,JPNWB3X2PG,1029.95,5,0,298.6855,Saturday,FY2021,FQ1,731.2645
56,EMEA-2020-111682,6/18/2020,Wang Xiulan,United Kingdom,Brighton,EMEA,UKIR,AnyCompany 14,1006,Finance,SMB,Marketing Suite - Gold,RI8MDZ0Y3A,208.56,6,0,52.14,Thursday,FY2020,FQ3,156.42
57,EMEA-2020-111682,6/18/2020,Wang Xiulan,United Kingdom,Brighton,EMEA,UKIR,AnyCompany 14,1006,Finance,SMB,Support,TA8D5XDFPN,32.4,5,0,15.552,Thursday,FY2020,FQ3,16.848
58,EMEA-2020-111682,6/18/2020,Wang Xiulan,United Kingdom,Brighton,EMEA,UKIR,AnyCompany 14,1006,Finance,SMB,FinanceHub,9QD1V31VWF,319.41,5,0.1,7.098,Thursday,FY2020,FQ3,312.312
59,EMEA-2020-111682,6/18/2020,Wang Xiulan,United Kingdom,Brighton,EMEA,UKIR,AnyCompany 14,1006,Finance,SMB,Support,NKEOT3DP5L,14.56,2,0,6.9888,Thursday,FY2020,FQ3,7.5712
60,EMEA-2020-111682,6/18/2020,Wang Xiulan,United Kingdom,Brighton,EMEA,UKIR,AnyCompany 14,1006,Finance,SMB,Data Smasher,I8M069JA80,30,2,0,3.3,Thursday,FY2020,FQ3,26.7
61,EMEA-2020-111682,6/18/2020,Wang Xiulan,United Kingdom,Brighton,EMEA,UKIR,AnyCompany 14,1006,Finance,SMB,ContactMatcher,3N1DY2AIMD,48.48,4,0.2,16.362,Thursday,FY2020,FQ3,32.118
62,EMEA-2020-111682,6/18/2020,Wang Xiulan,United Kingdom,Brighton,EMEA,UKIR,AnyCompany 14,1006,Finance,SMB,ChatBot Plugin,MBZM7LCSK4,1.68,1,0,0.84,Thursday,FY2020,FQ3,0.84
63,AMER-2019-135545,11/24/2019,Diego Ramirez,United States,New York City,AMER,NAMER,ExampleCorp 17,1067,Consumer Products,SMB,Data Smasher,LMJYGCZAFV,13.98,2,0,6.1512,Sunday,FY2020,FQ1,7.8288
64,AMER-2019-135545,11/24/2019,Diego Ramirez,United States,New York City,AMER,NAMER,ExampleCorp 17,1067,Consumer Products,SMB,ContactMatcher,MVEQDJNPR2,25.824,6,0.2,9.3612,Sunday,FY2020,FQ1,16.4628
65,AMER-2019-135545,11/24/2019,Diego Ramirez,United States,New York City,AMER,NAMER,ExampleCorp 17,1067,Consumer Products,SMB,Support,OLS0NNZ15B,146.73,3,0,68.9631,Sunday,FY2020,FQ1,77.7669
66,AMER-2019-135545,11/24/2019,Diego Ramirez,United States,New York City,AMER,NAMER,ExampleCorp 17,1067,Consumer Products,SMB,SaaS Connector Pack,84GUTTZTC0,79.76,4,0,22.3328,Sunday,FY2020,FQ1,57.4272
67,APJ-2019-164175,4/30/2019,Martha Rivera,Australia,Sydney,APJ,ANZ,AnyCompany 1,1001,Healthcare,Enterprise,FinanceHub,6QHQUNX985,213.115,5,0.3,-15.2225,Tuesday,FY2019,FQ3,228.3375
68,AMER-2018-106376,12/5/2018,Richard Roe,Chile,Puente Alto,AMER,LATAM,ExampleCorp 18,1068,Finance,Strategic,ChatBot Plugin,91D0JN8T6U,1113.024,8,0.2,111.3024,Wednesday,FY2019,FQ1,1001.7216
69,AMER-2018-106376,12/5/2018,Richard Roe,Chile,Puente Alto,AMER,LATAM,ExampleCorp 18,1068,Finance,Strategic,Site Analytics,6NQZXRTE33,167.968,4,0.2,62.988,Wednesday,FY2019,FQ1,104.98
70,EMEA-2020-119823,6/5/2020,John Doe,Spain,Madrid,EMEA,EU-WEST,AnyCompany 37,1035,Finance,SMB,Support,JH2K4261IC,75.88,2,0,35.6636,Friday,FY2020,FQ3,40.2164
71,EMEA-2020-106075,9/19/2020,Diego Ramirez,United Kingdom,London,EMEA,UKIR,AnyCompany 2,1002,Healthcare,SMB,ContactMatcher,5MAZAYKQ5U,4.616,1,0.2,1.731,Saturday,FY2020,FQ4,2.885
72,AMER-2021-114440,9/15/2021,Wang Xiulan,Brazil,Rio de Janeiro,AMER,LATAM,ExampleCorp 5,1051,Tech,SMB,Support,K4O1D2NXHZ,19.05,3,0,8.763,Wednesday,FY2021,FQ4,10.287
73,EMEA-2019-134026,4/26/2019,Jorge Souza,South Africa,Cape Town,EMEA,MEA,ExampleCorp 22,1072,Tech,SMB,FinanceHub,NPQNQFYUUU,831.936,8,0.2,-114.3912,Friday,FY2019,FQ3,946.3272
74,EMEA-2019-134026,4/26/2019,Jorge Souza,South Africa,Cape Town,EMEA,MEA,ExampleCorp 22,1072,Tech,SMB,SaaS Connector Pack,D0Z9FZR0JL,97.04,2,0.2,1.213,Friday,FY2019,FQ3,95.827
75,EMEA-2019-134026,4/26/2019,Jorge Souza,South Africa,Cape Town,EMEA,MEA,ExampleCorp 22,1072,Tech,SMB,Marketing Suite - Gold,X15ND79M8Q,72.784,1,0.2,-18.196,Friday,FY2019,FQ3,90.98
76,APJ-2021-118038,12/10/2021,Shirley Rodriguez,Japan,Tokyo,APJ,JAPN,ExampleCorp 21,1098,Transportation,Strategic,ContactMatcher,A4VC3VGTLE,1.248,3,0.8,-1.9344,Friday,FY2022,FQ1,3.1824
77,APJ-2021-118038,12/10/2021,Shirley Rodriguez,Japan,Tokyo,APJ,JAPN,ExampleCorp 21,1098,Transportation,Strategic,SaaS Connector Pack,IR30G9I4WJ,9.708,3,0.6,-5.8248,Friday,FY2022,FQ1,15.5328
78,APJ-2021-118038,12/10/2021,Shirley Rodriguez,Japan,Tokyo,APJ,JAPN,ExampleCorp 21,1098,Transportation,Strategic,Marketing Suite - Gold,PGTVTGM7XI,27.24,3,0.2,2.724,Friday,FY2022,FQ1,24.516
79,APJ-2018-147606,11/26/2018,Jorge Souza,Japan,Tokyo,APJ,JAPN,ExampleCorp 22,1072,Tech,SMB,SaaS Connector Pack,JQHP8C8VXP,19.3,5,0.6,-14.475,Monday,FY2019,FQ1,33.775
80,EMEA-2020-127208,6/13/2020,Nikki Wolf,Portugal,Lisboa,EMEA,EU-WEST,ExampleCorp 44,1088,Consumer Products,Strategic,OneView,1I3JIURUQR,208.16,1,0,56.2032,Saturday,FY2020,FQ3,151.9568
81,EMEA-2020-127208,6/13/2020,Nikki Wolf,Portugal,Lisboa,EMEA,EU-WEST,ExampleCorp 44,1088,Consumer Products,Strategic,ContactMatcher,0UHOHNAAAD,16.74,3,0,8.0352,Saturday,FY2020,FQ3,8.7048
82,AMER-2018-139451,10/12/2018,Martha Rivera,United States,Los Angeles,AMER,NAMER,ExampleCorp 48,1094,Communications,SMB,ChatBot Plugin,920M0N09EE,14.9,5,0,4.172,Friday,FY2019,FQ1,10.728
83,AMER-2018-139451,10/12/2018,Martha Rivera,United States,Los Angeles,AMER,NAMER,ExampleCorp 48,1094,Communications,SMB,Marketing Suite - Gold,9SVF10L0F3,21.39,1,0,6.2031,Friday,FY2019,FQ1,15.1869
84,EMEA-2019-149734,9/3/2019,Nikhil Jayashankar,Sweden,Uppsala,EMEA,NOR,ExampleCorp 6,1032,Finance,Strategic,SaaS Connector Pack - Gold,CFUHIDO1WY,200.984,7,0.2,62.8075,Tuesday,FY2019,FQ4,138.1765
85,APJ-2021-119662,11/14/2021,Kwesi Manu,Australia,Sydney,APJ,ANZ,ExampleCorp 32,1031,Energy,Enterprise,Marketing Suite - Gold,CUL2MB77E0,230.376,3,0.2,-48.9549,Sunday,FY2022,FQ1,279.3309
86,AMER-2021-140088,5/29/2021,Paulo Santos,Colombia,Bogotá,AMER,LATAM,ExampleCorp 18,1068,Finance,SMB,FinanceHub,RBNGNEEYS9,301.96,2,0,33.2156,Saturday,FY2021,FQ3,268.7444
87,EMEA-2021-155558,10/27/2021,Carlos Salazar,Luxembourg,Luxembourg,EMEA,EU-WEST,AnyCompany 33,1052,Transportation,SMB,Data Smasher,W731G6G61K,19.99,1,0,6.7966,Wednesday,FY2022,FQ1,13.1934
88,EMEA-2021-155558,10/27/2021,Carlos Salazar,Luxembourg,Luxembourg,EMEA,EU-WEST,AnyCompany 33,1052,Transportation,SMB,FinanceHub,A3HQUY156G,6.16,2,0,2.9568,Wednesday,FY2022,FQ1,3.2032
89,APJ-2020-159695,4/6/2020,Kwaku Mensah,Japan,Tokyo,APJ,JAPN,AnyCompany 37,1035,Finance,Enterprise,Marketing Suite - Gold,45JXXNYX5W,158.368,7,0.2,13.8572,Monday,FY2020,FQ3,144.5108
90,AMER-2020-109806,9/18/2020,Shirley Rodriguez,United States,New York City,AMER,NAMER,AnyCompany 33,1052,Transportation,Strategic,ChatBot Plugin,AX50KL6AG9,20.1,3,0,6.633,Friday,FY2020,FQ4,13.467
91,AMER-2020-109806,9/18/2020,Shirley Rodriguez,United States,New York City,AMER,NAMER,AnyCompany 33,1052,Transportation,Strategic,Site Analytics,S4CEY2GSVW,73.584,2,0.2,8.2782,Friday,FY2020,FQ4,65.3058
92,AMER-2020-109806,9/18/2020,Shirley Rodriguez,United States,New York City,AMER,NAMER,AnyCompany 33,1052,Transportation,Strategic,Support,V86OBN8J1U,6.48,1,0,3.1104,Friday,FY2020,FQ4,3.3696
93,EMEA-2019-149587,1/31/2019,María García,Luxembourg,Luxembourg,EMEA,EU-WEST,ExampleCorp 18,1068,Finance,SMB,Support,XJEFE2O3YF,12.96,2,0,6.2208,Thursday,FY2019,FQ2,6.7392
94,EMEA-2019-149587,1/31/2019,María García,Luxembourg,Luxembourg,EMEA,EU-WEST,ExampleCorp 18,1068,Finance,SMB,SaaS Connector Pack,5XEHT10HDW,53.34,3,0,16.5354,Thursday,FY2019,FQ2,36.8046
95,EMEA-2019-149587,1/31/2019,María García,Luxembourg,Luxembourg,EMEA,EU-WEST,ExampleCorp 18,1068,Finance,SMB,ContactMatcher,U40N63E6AK,32.96,2,0,16.1504,Thursday,FY2019,FQ2,16.8096
96,EMEA-2021-109484,11/7/2021,Zhang Wei,Belgium,Brussels,EMEA,EU-WEST,ExampleCorp 50,1095,Retail,Enterprise,ContactMatcher,VK1TWXDWUR,5.682,1,0.7,-3.788,Sunday,FY2022,FQ1,9.47
97,EMEA-2021-161018,11/10/2021,Shirley Rodriguez,United Kingdom,London,EMEA,UKIR,AnyCompany 20,1014,Manufacturing,Enterprise,SaaS Connector Pack,UFEXZDF5TK,96.53,7,0,40.5426,Wednesday,FY2022,FQ1,55.9874
98,AMER-2021-157833,6/18/2021,Nikhil Jayashankar,United States,Los Angeles,AMER,NAMER,ExampleCorp 47,1093,Energy,SMB,ContactMatcher,GJFN2RJA9U,51.312,3,0.2,17.9592,Friday,FY2021,FQ3,33.3528
99,EMEA-2020-149223,9/7/2020,Liu Jie,Luxembourg,Luxembourg,EMEA,EU-WEST,ExampleCorp 19,1089,Consumer Products,Strategic,OneView,PFLFDN3SOU,77.88,6,0,22.5852,Monday,FY2020,FQ4,55.2948
100,APJ-2020-158568,8/30/2020,Martha Rivera,Australia,Sydney,APJ,ANZ,ExampleCorp 28,1075,Consumer Products,Enterprise,Support,2CWM52X1X9,64.624,7,0.2,22.6184,Sunday,FY2020,FQ4,42.0056
101,APJ-2020-158568,8/30/2020,Martha Rivera,Australia,Sydney,APJ,ANZ,ExampleCorp 28,1075,Consumer Products,Enterprise,Data Smasher,LW1M6UDC4B,95.976,3,0.2,-10.7973,Sunday,FY2020,FQ4,106.7733
102,APJ-2020-158568,8/30/2020,Martha Rivera,Australia,Sydney,APJ,ANZ,ExampleCorp 28,1075,Consumer Products,Enterprise,ContactMatcher,WCITXGLF0J,1.788,3,0.8,-3.0396,Sunday,FY2020,FQ4,4.8276
103,EMEA-2020-129903,12/2/2020,Zhang Wei,Luxembourg,Luxembourg,EMEA,EU-WEST,ExampleCorp 43,1100,Finance,SMB,Support,45EAEXTILE,23.92,4,0,11.7208,Wednesday,FY2021,FQ1,12.1992
104,EMEA-2019-156867,11/13/2019,John Stiles,Russia,Moscow,EMEA,EU-EAST,ExampleCorp 51,1096,Retail,SMB,Data Smasher,EV59Z98WXW,238.896,6,0.2,-26.8758,Wednesday,FY2020,FQ1,265.7718
105,EMEA-2019-156867,11/13/2019,John Stiles,Russia,Moscow,EMEA,EU-EAST,ExampleCorp 51,1096,Retail,SMB,SaaS Connector Pack,YR7I08I1K4,102.36,3,0.2,-3.8385,Wednesday,FY2020,FQ1,106.1985
106,EMEA-2019-156867,11/13/2019,John Stiles,Russia,Moscow,EMEA,EU-EAST,ExampleCorp 51,1096,Retail,SMB,ContactMatcher,W01T1PXXK7,36.882,3,0.7,-25.8174,Wednesday,FY2020,FQ1,62.6994
107,EMEA-2021-119004,11/24/2021,Liu Jie,Sweden,Stockholm,EMEA,NOR,AnyCompany 26,1019,Tech,SMB,Data Smasher,6D89G3BGGH,74.112,8,0.2,17.6016,Wednesday,FY2022,FQ1,56.5104
108,EMEA-2021-119004,11/24/2021,Liu Jie,Sweden,Stockholm,EMEA,NOR,AnyCompany 26,1019,Tech,SMB,Site Analytics,ECNQ9AS54S,27.992,1,0.2,2.0994,Wednesday,FY2022,FQ1,25.8926
109,EMEA-2021-119004,11/24/2021,Liu Jie,Sweden,Stockholm,EMEA,NOR,AnyCompany 26,1019,Tech,SMB,ChatBot Plugin,D0H5JTRD3R,3.304,1,0.2,1.0738,Wednesday,FY2022,FQ1,2.2302
110,APJ-2019-129476,10/15/2019,Nikhil Jayashankar,Australia,Canberra,APJ,ANZ,ExampleCorp 21,1098,Transportation,Enterprise,Data Smasher,OG63K8FFP9,339.96,5,0.2,67.992,Tuesday,FY2020,FQ1,271.968
111,EMEA-2021-146780,12/26/2021,Saanvi Sarkar,United Kingdom,London,EMEA,UKIR,ExampleCorp 31,1078,Finance,Strategic,SaaS Connector Pack,E5KT4VQ59T,41.96,2,0,10.9096,Sunday,FY2022,FQ1,31.0504
112,EMEA-2020-128867,11/4/2020,John Doe,Netherlands,The Hague,EMEA,EU-WEST,ExampleCorp 51,1096,Retail,SMB,ChatBot Plugin,FDKOX22CWX,75.96,2,0,22.788,Wednesday,FY2021,FQ1,53.172
113,EMEA-2020-128867,11/4/2020,John Doe,Netherlands,The Hague,EMEA,EU-WEST,ExampleCorp 51,1096,Retail,SMB,ContactMatcher,OAF6MA4XZ7,27.24,6,0,13.3476,Wednesday,FY2021,FQ1,13.8924
